Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
107	Waveform 1	1	600.375380028	600.723046437	0.0	YKD	A	c				playback
107	Spectrogram 1	1	600.375380028	600.723046437	0.0	YKD	A	c				playback
31	Waveform 1	1	609.814229458	611.723875388	0.0	YKD	A	s	f	y		
31	Spectrogram 1	1	609.814229458	611.723875388	0.0	YKD	A	s	f	y		
109	Waveform 1	1	612.770443489	614.750630430	0.0	YKD	A	r				
109	Spectrogram 1	1	612.770443489	614.750630430	0.0	YKD	A	r				
108	Waveform 1	1	616.267262921	617.783894649	0.0	YKD	A	c				... match?
108	Spectrogram 1	1	616.267262921	617.783894649	0.0	YKD	A	c				... match?
110	Waveform 1	1	620.323369496	622.399290666	0.0	YKD	A	r			y	overlapping next song
110	Spectrogram 1	1	620.323369496	622.399290666	0.0	YKD	A	r			y	overlapping next song
32	Waveform 1	1	621.740698671	623.403451064	0.0	YKD	A	s	f	y	y	overlapping previous
32	Spectrogram 1	1	621.740698671	623.403451064	0.0	YKD	A	s	f	y	y	overlapping previous
111	Waveform 1	1	624.768923074	625.212323712	0.0	YKD	A	c				playback
111	Spectrogram 1	1	624.768923074	625.212323712	0.0	YKD	A	c				playback
112	Waveform 1	1	626.245245190	627.389017291	0.0	YKD	A	c				
112	Spectrogram 1	1	626.245245190	627.389017291	0.0	YKD	A	c				
114	Waveform 1	1	626.577795669	628.391707370	0.0	YKD	A	r				
114	Spectrogram 1	1	626.577795669	628.391707370	0.0	YKD	A	r				
113	Waveform 1	1	628.749451067	630.135078061	0.0	YKD	A	c				the bird, playback, the bird
113	Spectrogram 1	1	628.749451067	630.135078061	0.0	YKD	A	c				the bird, playback, the bird
33	Waveform 1	1	633.163303904	634.906674594	0.0	YKD	A	s	f			
33	Spectrogram 1	1	633.163303904	634.906674594	0.0	YKD	A	s	f			
115	Waveform 1	1	635.556658431	635.894247554	0.0	YKD	A	c				playback
115	Spectrogram 1	1	635.556658431	635.894247554	0.0	YKD	A	c				playback
35	Waveform 1	1	644.948691940	647.024613109	0.0	YKD	A	s	f			
35	Spectrogram 1	1	644.948691940	647.024613109	0.0	YKD	A	s	f			
116	Waveform 1	1	652.945018633	653.579887729	0.0	YKD	A	c				playback
116	Spectrogram 1	1	652.945018633	653.579887729	0.0	YKD	A	c				playback
36	Waveform 1	1	657.384064018	659.238284869	0.0	YKD	A	s	f	y		
36	Spectrogram 1	1	657.384064018	659.238284869	0.0	YKD	A	s	f	y		
118	Waveform 1	1	659.374327820	661.283973750	0.0	YKD	A	r				not noted
118	Spectrogram 1	1	659.374327820	661.283973750	0.0	YKD	A	r				not noted
117	Waveform 1	1	662.211084707	665.783483030	0.0	YKD	A	c				ending the first experiment
117	Spectrogram 1	1	662.211084707	665.783483030	0.0	YKD	A	c				ending the first experiment
119	Waveform 1	1	668.338075277	670.983363174	0.0	YKD	A	c				center of territory?
119	Spectrogram 1	1	668.338075277	670.983363174	0.0	YKD	A	c				center of territory?
121	Waveform 1	1	672.096903724	674.399563856	0.0	YKD	A	s	s			
121	Spectrogram 1	1	672.096903724	674.399563856	0.0	YKD	A	s	s			
120	Waveform 1	1	675.155360398	675.528220026	0.0	YKD	A	c				playback
120	Spectrogram 1	1	675.155360398	675.528220026	0.0	YKD	A	c				playback
122	Waveform 1	1	678.364976691	679.695178606	0.0	YKD	A	c				
122	Spectrogram 1	1	678.364976691	679.695178606	0.0	YKD	A	c				
124	Waveform 1	1	682.708287798	685.590391946	0.0	YKD	A	c				the bird ...
124	Spectrogram 1	1	682.708287798	685.590391946	0.0	YKD	A	c				the bird ...
125	Waveform 1	1	684.401272015	686.729125365	0.0	YKD	A	s	s			
125	Spectrogram 1	1	684.401272015	686.729125365	0.0	YKD	A	s	s			
127	Waveform 1	1	696.050616829	698.413740684	0.0	YKD	A	s	s			
